(dephosphorylation of MAPK-P).V10	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Parameters	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0005	(	99.7975	0.102185	1.07992	0.1	0.1	30.5709	0.1	0.1	0.1	2.43512	21.7958	1.81044	100	3.00111	0.345237	1.89062	0.148293	100	1.0265	1.27642	18.8516	)	4892.27
50.0005	(	99.6968	0.150468	0.543268	0.20821	0.1	11.9092	0.1	0.1	0.1	7.80294	5.66086	3.77217	100	1.88429	0.1	0.100246	29.2142	100	1.08132	1.18775	9.90018	)	2732.73
100	(	99.9965	0.102616	0.544244	0.370932	0.1	11.7527	0.1	0.1	0.1	6.93284	5.75268	4.74721	100	1.91187	0.1	0.100049	31.8491	100	1.07821	1.20624	15.4319	)	2714.57
150	(	97.3217	0.117898	0.584699	0.515014	0.1	12.0206	0.1	0.1	0.1	5.49184	5.86297	1.29198	100	1.68929	0.1	0.100246	36.9811	100	1.0546	1.14748	13.7653	)	2808.88
200	(	50.5058	0.122012	0.846591	0.561607	0.1	13.1149	0.110548	0.1	0.1	6.44368	10.4831	1.19289	100	1.92151	0.1	0.100098	42.9466	100	0.903768	1.04865	13.7381	)	3314.14
250	(	99.9885	0.106356	0.583007	0.67357	0.1	12.2206	0.10205	0.1	0.1	6.82478	6.54159	3.919	100	2.05824	0.1	0.1	55.9311	100	1.07316	1.18293	23.7649	)	2711.21
300	(	99.8274	0.152824	0.487031	0.781796	0.1	11.6992	0.100001	0.1	0.1	8.51935	5.4584	8.22832	100	2.32771	0.1	0.1	61.0765	100	1.11003	1.29083	21.7289	)	2638.34
350	(	95.7532	0.121718	0.473442	0.846489	0.1	11.6895	0.100467	0.1	0.1	10.2077	5.35415	9.18714	100	2.41971	0.103863	0.1	64.0322	100	1.12981	1.32465	19.095	)	2651.85
400	(	89.144	0.105236	0.625699	0.909642	0.1	11.6483	0.1	0.1	0.1	9.94128	7.88514	9.40067	100	2.54493	0.1	0.10002	72.4115	100	1.13303	1.36344	23.6153	)	2656.12
450	(	33.036	0.107767	0.849612	0.707124	0.1	12.0479	0.105332	0.1	0.1	7.6983	11.1022	4.25199	100	2.32397	0.1	0.139706	52.8143	62.6573	1.13079	1.53215	10.8535	)	4361.48
500	(	97.9465	0.108142	0.73011	0.849337	0.1	12.1155	0.120398	0.1	0.1	7.94188	10.3906	1.76121	100	2.07479	0.20426	0.100029	63.483	74.2643	0.86391	0.848767	9.73601	)	3888.8
